Flight No.,Launch site,Payload,Payload mass,Orbit,Customer,Launch outcome,Version Booster,Booster landing,Date,Time
1,"CCAFS,SLC-40",Dragon Spacecraft Qualification Unit,,LEO,SpaceX,Success,F9 v1.07B0003.18,,"4 June 2010,",
1,"CCAFS,SLC-40",Dragon demo flight C1(Dragon C101),,LEO (ISS),"NASA (COTS)
NRO",Success[9],F9 v1.07B0004.18,,"4 June 2010,",
2,"CCAFS,SLC-40",Dragon demo flight C2+[18](Dragon C102),"525 kg (1,157 lb)[19]",LEO (ISS),NASA (COTS),Success[20],F9 v1.07B0005.18,,"8 December 2010,",
3,"CCAFS,SLC-40",SpaceX CRS-1[22](Dragon C103),"4,700 kg (10,400 lb)",LEO (ISS),NASA (CRS),Success,F9 v1.07B0006.18,,"22 May 2012,",
4,"CCAFS,SLC-40",SpaceX CRS-2[22](Dragon C104),"4,877 kg (10,752 lb)",LEO (ISS),NASA (CRS),Success,F9 v1.07B0007.18,,"8 October 2012,",
5,"VAFB,SLC-4E",CASSIOPE[22][31],"500 kg (1,100 lb)",Polar orbit LEO,MDA,Success[30],F9 v1.17B10038,,"1 March 2013,",
6,"CCAFS,SLC-40",SES-8[22][35][36],"3,170 kg (6,990 lb)",GTO,SES,Success[37],,,"29 September 2013,",
7,"CCAFS,SLC-40",Thaicom 6[22],"3,325 kg (7,330 lb)",GTO,Thaicom,Success[42],,,"3 December 2013,",
8,"Cape Canaveral,LC-40",SpaceX CRS-3[22](Dragon C105),"2,296 kg (5,062 lb)[45]",LEO (ISS),NASA (CRS),Success,,,"6 January 2014,",
9,"Cape Canaveral,LC-40",Orbcomm-OG2-1(6 satellites)[22],"1,316 kg (2,901 lb)",LEO,Orbcomm,Success[51],,,"18 April 2014,",
10,"Cape Canaveral,LC-40",AsiaSat 8[22][54][55],"4,535 kg (9,998 lb)",GTO,AsiaSat,Success[56],,,"14 July 2014,",
11,"Cape Canaveral,LC-40",AsiaSat 6[22][54][58],"4,428 kg (9,762 lb)",GTO,AsiaSat,Success[59],F9 v1.1[,,"5 August 2014,",
12,"Cape Canaveral,LC-40",SpaceX CRS-4[22](Dragon C106.1),"2,216 kg (4,885 lb)[62]",LEO (ISS),NASA (CRS),Success[63],F9 v1.1[,,"7 September 2014,",
13,"Cape Canaveral,LC-40",SpaceX CRS-5[68](Dragon C107),"2,395 kg (5,280 lb)[69]",LEO (ISS),NASA (CRS),Success[70],F9 v1.1[,,"21 September 2014,",
14,"Cape Canaveral,LC-40",DSCOVR[68][73],"570 kg (1,260 lb)",HEO(Sun–Earth L1 insertion),"USAF
NASA
NOAA",Success,F9 v1.1[,,"10 January 2015,",
15,"Cape Canaveral,LC-40","ABS-3A
Eutelsat 115 West B[68]","4,159 kg (9,169 lb)",GTO,"ABS
Eutelsat",Success,F9 v1.1[,,"11 February 2015,",
16,"Cape Canaveral,LC-40",SpaceX CRS-6[68](Dragon C108.1),"1,898 kg (4,184 lb)[82]",LEO (ISS),NASA (CRS),Success,F9 v1.1[,,"2 March 2015,",
17,"Cape Canaveral,LC-40",TürkmenÄlem 52°E / MonacoSAT[68][87],"4,707 kg (10,377 lb)",GTO,Turkmenistan NationalSpace Agency[88],Success,F9 v1.1[,,"14 April 2015,",
18,"Cape Canaveral,LC-40",SpaceX CRS-7[68](Dragon C109),"1,952 kg (4,303 lb)[92]",LEO (ISS),NASA (CRS),Failure[93](in flight),F9 v1.1[,,"27 April 2015,",
19,"Cape Canaveral,LC-40",Orbcomm-OG2-2(11 satellites)[22][97],"2,034 kg (4,484 lb)",LEO,Orbcomm,Success,F9 FT[,,"28 June 2015,",
20,"VAFB,SLC-4E",Jason-3[68][104],"553 kg (1,219 lb)",LEO,"NASA (LSP)
NOAA
CNES",Success,F9 v1.1[,,"22 December 2015,",
21,"Cape Canaveral,LC-40",SES-9[68][109][110],"5,271 kg (11,621 lb)",GTO,SES,Success,F9 FT[,,"17 January 2016,",
22,"Cape Canaveral,LC-40",SpaceX CRS-8[68][110](Dragon C110.1),"3,136 kg (6,914 lb)[116]",LEO (ISS),NASA (CRS),Success[117],F9 FT[,,"4 March 2016,",
23,"Cape Canaveral,LC-40",JCSAT-14[123],"4,696 kg (10,353 lb)[124]",GTO,SKY Perfect JSAT Group,Success,F9 FT[,,"8 April 2016,",
24,"Cape Canaveral,LC-40",Thaicom 8[130][131],"3,100 kg (6,800 lb)[132]",GTO,Thaicom,Success,F9 FT[,,"6 May 2016,",
25,"Cape Canaveral,LC-40","ABS-2A
Eutelsat 117 West B[68]","3,600 kg (7,900 lb)",GTO,"ABS
Eutelsat",Success,F9 FT[,,"27 May 2016,",
26,"Cape Canaveral,LC-40",SpaceX CRS-9[68][141](Dragon C111.1),"2,257 kg (4,976 lb)[142]",LEO (ISS),NASA (CRS),Success,F9 FT[,,"15 June 2016,",
27,"Cape Canaveral,LC-40",JCSAT-16,"4,600 kg (10,100 lb)",GTO,SKY Perfect JSAT Group,Success,F9 FT[,,"18 July 2016,",
28,"VAFB,SLC-4E",Iridium NEXT-1(10 satellites)[152][153],"9,600 kg (21,200 lb)",Polar LEO,Iridium Communications,Success,F9 FT[,,"14 August 2016,",
29,"KSC,LC-39A",SpaceX CRS-10[141](Dragon C112.1),"2,490 kg (5,490 lb)[160]",LEO (ISS),NASA (CRS),Success,F9 FT[,,"14 January 2017,",
30,"KSC,LC-39A",EchoStar 23,"5,600 kg (12,300 lb)[164]",GTO,EchoStar,Success,F9 FT[,,"19 February 2017,",
31,"KSC,LC-39A",SES-10[109][168],"5,300 kg (11,700 lb)[169]",GTO,SES,Success[170],F9 FT♺[,,"16 March 2017,",
32,"KSC,LC-39A",NROL-76[174],Classified,LEO[175],NRO,Success,F9 FT[,,"30 March 2017,",
33,"KSC,LC-39A",Inmarsat-5 F4[180],"6,070 kg (13,380 lb)[181]",GTO,Inmarsat,Success,F9 FT[,,"1 May 2017,",
34,"KSC,LC-39A",SpaceX CRS-11[141](Dragon C106.2 ♺),"2,708 kg (5,970 lb)[186]",LEO (ISS),NASA (CRS),Success,F9 FT[,,"15 May 2017,",
35,"KSC,LC-39A",BulgariaSat-1[196],"3,669 kg (8,089 lb)[197]",GTO,Bulsatcom,Success,F9 FTB1029.2195,,"3 June 2017,",
36,"VAFB,SLC-4E",Iridium NEXT-2(10 satellites),"9,600 kg (21,200 lb)",LEO,Iridium Communications,Success,F9 FT[,,"23 June 2017,",
37,"KSC,LC-39A",Intelsat 35e[201],"6,761 kg (14,905 lb)[202]",GTO,Intelsat,Success,F9 FT[,,"25 June 2017,",
38,"KSC,LC-39A",SpaceX CRS-12[141](Dragon C113.1),"3,310 kg (7,300 lb)",LEO (ISS),NASA (CRS),Success,F9 B4[,,"5 July 2017,",
39,"VAFB,SLC-4E",Formosat-5[210][211],"475 kg (1,047 lb)[212]",SSO,NSPO,Success,F9 FT[,,"14 August 2017,",
40,"KSC,LC-39A",Boeing X-37B OTV-5,"4,990 kg (11,000 lb)[216]+ OTV payload",LEO,USAF,Success,F9 B4[,,"24 August 2017,",
41,"VAFB,SLC-4E",Iridium NEXT-3(10 satellites)[152],"9,600 kg (21,200 lb)",Polar LEO,Iridium Communications,Success,F9 B4[,,"7 September 2017,",
42,"KSC,LC-39A",SES-11 / EchoStar 105,"5,200 kg (11,500 lb)",GTO,"SES S.A.
EchoStar",Success,F9 FTB1031.2220,,"9 October 2017,",
43,"KSC,LC-39A",Koreasat 5A[222],"3,500 kg (7,700 lb)",GTO,KT Corporation,Success,F9 B4[,,"11 October 2017,",
44,"Cape Canaveral,SLC-40",SpaceX CRS-13[141](Dragon C108.2 ♺),"2,205 kg (4,861 lb)",LEO (ISS),NASA (CRS),Success,F9 FTB1035.2227,,"30 October 2017,",
45,"VAFB,SLC-4E",Iridium NEXT-4(10 satellites)[152],"9,600 kg (21,200 lb)",Polar LEO,Iridium Communications,Success[230],F9 FTB1036.2227,,"15 December 2017,",
46,"CCAFS,SLC-40",Zuma[238][239][240],Classified,LEO,Northrop Grumman [f][238],Success[241],F9 B4[,,"23 December 2017,",
47,"CCAFS,SLC-40",GovSat-1 (SES-16)[246],"4,230 kg (9,330 lb)[247]",GTO,SES,Success[248],F9 FTB1032.2245,,"8 January 2018,",
48,"VAFB,SLC-4E","Paz[269]
Tintin A and Tintin B[270]","2,150 kg (4,740 lb)",SSO,"Hisdesat
exactEarth
SpaceX",Success[271],F9 FTB1038.2268,,"31 January 2018,",
49,"CCAFS,SLC-40","Hispasat 30W-6[277]
PODSat[278]","6,092 kg (13,431 lb)[279]",GTO,"Hispasat[277]
NovaWurks",Success[280],F9 B4[,,"22 February 2018,",
50,"VAFB,SLC-4E",Iridium NEXT-5(10 satellites)[152],"9,600 kg (21,200 lb)",Polar LEO,Iridium Communications,Success[286],F9 B4B1041.2268,,"6 March 2018,",
51,"CCAFS,SLC-40",SpaceX CRS-14[141](Dragon C110.2 ♺),"2,647 kg (5,836 lb)[292]",LEO (ISS),NASA (CRS),Success[293],F9 B4B1039.2292,,"30 March 2018,",
52,"CCAFS,SLC-40",Transiting Exoplanet Survey Satellite (TESS)[304],362 kg (798 lb)[305],HEO for P/2 orbit,NASA (LSP),Success[306],F9 B4[,,"2 April 2018,",
53,"KSC,LC-39A",Bangabandhu-1[312][313],"3,600 kg (7,900 lb)[314]",GTO,Thales-Alenia / BTRC,Success[315],F9 B5311B1046.1268,,"18 April 2018,",
54,"VAFB,SLC-4E","Iridium NEXT-6(5 satellites)[152][155]
GRACE-FO × 2[323][324]","6,460 kg (14,240 lb)[g]",Polar LEO,"Iridium Communications
GFZ • NASA",Success[327],F9 B4B1043.2322,,"11 May 2018,",
55,"CCAFS,SLC-40",SES-12[331],"5,384 kg (11,870 lb)[332]",GTO,SES,Success[333],F9 B4B1040.2268,,"22 May 2018,",
56,"CCAFS,SLC-40",SpaceX CRS-15(Dragon C111.2 ♺),"2,697 kg (5,946 lb)[337]",LEO (ISS),NASA (CRS),Success[338],F9 B4B1045.2336,,"4 June 2018,",
57,"CCAFS,SLC-40",Telstar 19V[341],"7,075 kg (15,598 lb)[342]",GTO[343],Telesat,Success[344],F9 B5,,"29 June 2018,",
58,"VAFB,SLC-4E",Iridium NEXT-7(10 satellites)[152],"9,600 kg (21,200 lb)",Polar LEO,Iridium Communications,Success[351],F9 B5349B1048[,,"22 July 2018,",
59,"CCAFS,SLC-40",Merah Putih (formerly Telkom 4)[355][356],"5,800 kg (12,800 lb)[357]",GTO,Telkom Indonesia,Success[358],F9 B5B1046.2354,,"25 July 2018,",
60,"CCAFS,SLC-40",Telstar 18V / Apstar-5C[341],"7,060 kg (15,560 lb)[361]",GTO[361],Telesat,Success[361],F9 B5[,,"7 August 2018,",
61,"VAFB,SLC-4E",SAOCOM 1A[365][366],"3,000 kg (6,600 lb)[363]",SSO,CONAE,Success[363],F9 B5B1048.2364,,"10 September 2018,",
62,"KSC,LC-39A",Es'hail 2[368],"5,300 kg (11,700 lb)[369]",GTO,Es'hailSat,Success[370],F9 B5B1047.2268,,"8 October 2018,",
63,"VAFB,SLC-4E",SSO-A (SmallSat Express),"~4,000 kg (8,800 lb)[372]",SSO,Spaceflight Industries,Success[373],F9 B5B1046.3268,,"15 November 2018,",
64,"CCAFS,SLC-40",SpaceX CRS-16(Dragon C112.2♺ ),"2,500 kg (5,500 lb)[382]",LEO (ISS),NASA (CRS),Success,F9 B5[,,"3 December 2018,",
65,"CCAFS,SLC-40",GPS III-01 (Vespucci),"4,400 kg (9,700 lb)[388]",MEO,USAF,Success[386],F9 B5[,,"5 December 2018,",
66,"VAFB,SLC-4E",Iridium NEXT-8(10 satellites)[152],"9,600 kg (21,200 lb)",Polar LEO,Iridium Communications,Success,F9 B5B1049.2397,,"23 December 2018,",
67,"CCAFS,SLC-40","Nusantara Satu (PSN-6)[400]
Beresheet Moon lander[401]
S5[402]","4,850 kg (10,690 lb)[403]",GTO,"PSN
SpaceIL / IAI
Air Force Research",Success,F9 B5B1048.3399,,"11 January 2019,",
68,"KSC,LC-39A",Crew Dragon Demo-1[414](Dragon C201),"12,055 kg (26,577 lb)[415][h]",LEO (ISS),NASA (CCD),Success,F9 B5[]413,,"22 February 2019,",
69,"KSC,LC-39A",Arabsat-6A[422],"6,465 kg (14,253 lb)[423]",GTO,Arabsat,Success,Falcon Heavy[,,"2 March 2019,",
FH 2,"CCAFS,SLC-40",SpaceX CRS-17[141](Dragon C113.2 ♺),"2,495 kg (5,501 lb)[432]",LEO (ISS),NASA (CRS),Success,F9 B5[,,"11 April 2019,",
70,"CCAFS,SLC-40",Starlink v0.9 (60 satellites),"13,620 kg (30,030 lb)[5]",LEO,SpaceX,Success,F9 B5B1049.3434,,"4 May 2019,",
71,"VAFB,SLC-4E",RADARSAT Constellation(3 satellites),"4,200 kg (9,300 lb)[443]",SSO,Canadian Space Agency (CSA),Success,F9 B5B1051.2420,,"24 May 2019,",
72,"KSC,LC-39A",Space Test Program Flight 2 (STP-2),"3,700 kg (8,200 lb)",LEO / MEO,USAF,Success,Falcon Heavy[,,"12 June 2019,",
FH 3,CCAFSSLC-40,SpaceX CRS-18[141](Dragon C108.3 ♺),"2,268 kg (5,000 lb)[464]",LEO (ISS),NASA (CRS),Success,F9 B5B1056.2465,,"25 June 2019,",
73,"CCAFS,SLC-40",AMOS-17[473],"6,500 kg (14,300 lb)[474]",GTO,Spacecom,Success,F9 B5B1047.3472,,"25 July 2019,",
74,"CCAFS,SLC-40",Starlink 1 v1.0 (60 satellites),"15,600 kg (34,400 lb)[5]",LEO,SpaceX,Success,F9 B5,,"6 August 2019,",
75,"CCAFS,SLC-40",SpaceX CRS-19[483](Dragon C106.3 ♺),"2,617 kg (5,769 lb)",LEO (ISS),NASA (CRS),Success,F9 B5[,,"11 November 2019,",
76,"CCAFS,SLC-40",JCSat-18 / Kacific 1[487],"6,956 kg (15,335 lb)[486]",GTO,Sky Perfect JSATKacific 1,Success,F9 B5B1056.3482,,"5 December 2019,",
77,"CCAFS,SLC-40",Starlink 2 v1.0 (60 satellites),"15,600 kg (34,400 lb)[5]",LEO,SpaceX,Success,F9 B5,,"17 December 2019,",
78,"KSC,LC-39A",Crew Dragon in-flight abort test[495](Dragon C205.1),"12,050 kg (26,570 lb)",Sub-orbital[496],NASA (CTS)[497],Success,F9 B5,,"7 January 2020,",
79,"CCAFS,SLC-40",Starlink 3 v1.0 (60 satellites),"15,600 kg (34,400 lb)[5]",LEO,SpaceX,Success,F9 B5,,"19 January 2020,",
80,"CCAFS,SLC-40",Starlink 4 v1.0 (60 satellites),"15,600 kg (34,400 lb)[5]",LEO,SpaceX,Success,F9 B5,,"29 January 2020,",
81,"CCAFS,SLC-40",SpaceX CRS-20(Dragon C112.3 ♺),"1,977 kg (4,359 lb)[507]",LEO (ISS),NASA (CRS),Success,F9 B5,,"17 February 2020,",
82,"KSC,LC-39A",Starlink 5 v1.0 (60 satellites),"15,600 kg (34,400 lb)[5]",LEO,SpaceX,Success,F9 B5,,"7 March 2020,",
83,"KSC,LC-39A",Starlink 6 v1.0 (60 satellites),"15,600 kg (34,400 lb)[5]",LEO,SpaceX,Success,F9 B5,,"18 March 2020,",
84,"KSC,LC-39A",Crew Dragon Demo-2[414](Crew Dragon C206.1 Endeavour),"12,530 kg (27,620 lb)[519]",LEO (ISS),NASA (CCDev),Success,F9 B5[,,"22 April 2020,",
85,"CCAFS,SLC-40",Starlink 7 v1.0 (60 satellites),"15,600 kg (34,400 lb)[5]",LEO,SpaceX,Success,F9 B5,,"30 May 2020,",
86,"CCAFS,SLC-40","Starlink 8 v1.0 (58 satellites),[524][525]SkySats-16, -17, -18","15,410 kg (33,970 lb)[523]",LEO,SpaceXPlanet Labs,Success,F9 B5,,"4 June 2020,",
87,"CCAFS,SLC-40",GPS III-03 (Matthew Henson),"4,311 kg (9,504 lb)[530]",MEO,U.S. Space Force[530],Success,F9 B5,,"13 June 2020,",
88,"CCAFS,SLC-40",ANASIS-II,"5,000–6,000 kg (11,000–13,000 lb)",GTO,Republic of Korea Army,Success,F9 B5B1058.2544,,"30 June 2020,",
89,"KSC,LC-39A","Starlink 9 v1.0 (57 Satellites),[524]SXRS-1 (BlackSky Global 7 and 8)","14,932 kg (32,919 lb)",LEO,SpaceXSpaceflight Industries (BlackSky),Success,F9 B5,,"20 July 2020,",
90,"CCAFS,SLC-40","Starlink 10 v1.0 (58 satellites)SkySat-19, -20, -21","~15,440 kg (34,040 lb)",LEO,SpaceXPlanet Labs,Success,F9 B5B1049.6544,,"7 August 2020,",
91,"CCAFS,SLC-40",SAOCOM 1B[556]GNOMES 1[556]Tyvak-0172[557],"3,130 kg (6,900 lb)[558]",SSO,CONAEPlanetIQTyvak,Success,F9 B5,,18 August 2020,
92,"KSC,LC-39A",Starlink 11 v1.0 (60 satellites),"15,600 kg (34,400 lb)[5]",LEO,SpaceX,Success,F9 B5B1060.2563,,30 August 2020,
93,"KSC,LC-39A",Starlink 12 v1.0 (60 satellites),"15,600 kg (34,400 lb)[5]",LEO,SpaceX,Success,F9 B5B1058.3565,,3 September 2020,
94,"KSC,LC-39A",Starlink 13 v1.0 (60 satellites),"15,600 kg (34,400 lb)[5]",LEO,SpaceX,Success,F9 B5B1051.6568,,6 October 2020,
95,"CCAFS,SLC-40",Starlink 14 v1.0 (60 satellites),"15,600 kg (34,400 lb)",LEO,SpaceX,Success,F9 B5,,18 October 2020,
96,"CCAFS,SLC-40",GPS III-04 (Sacagawea)[541][573],"4,311 kg (9,504 lb)",MEO,USSF,Success,F9 B5,,24 October 2020,
97,"KSC,LC-39A",Crew-1(Crew Dragon C207.1 Resilience),"~12,500 kg (27,600 lb)",LEO (ISS),NASA (CCP)[497],Success,F9 B5[,,5 November 2020,
98,"VAFB,SLC-4E",Sentinel-6 Michael Freilich (Jason-CS A),"1,192 kg (2,628 lb)",LEO,NASA / NOAA / ESA / EUMETSAT,Success,F9 B5,,16 November 2020,
99,"CCAFS,SLC-40",Starlink 15 v1.0 (60 satellites),"15,600 kg (34,400 lb)",LEO,SpaceX,Success,F9 B5 ♺[,,21 November 2020,
100,"KSC,LC-39A",SpaceX CRS-21(Dragon C208.1),"2,972 kg (6,552 lb)",LEO (ISS),NASA (CRS),Success,F9 B5 ♺[,,25 November 2020,
101,"CCSFS,SLC-40[597]",SXM-7,"7,000 kg (15,000 lb)",GTO,Sirius XM,Success,F9 B5 ♺,,6 December 2020,
102,"KSC,LC-39A",NROL-108,Classified,LEO,NRO,Success,F9 B5 ♺,,13 December 2020,
103,"CCSFS,SLC-40",Türksat 5A[605],"3,500 kg (7,700 lb)",GTO,Türksat,Success,F9 B5,,19 December 2020,
104,"KSC,LC-39A",Starlink 16 v1.0 (60 satellites),"15,600 kg (34,400 lb)",LEO,SpaceX,Success,F9 B5B1051.8609,,8 January 2021,
105,"CCSFS,SLC-40",Transporter-1 (143 smallsat rideshare),"~5,000 kg (11,000 lb)",SSO,Various,Success,F9 B5B1058.5613,,20 January 2021,
106,"CCSFS,SLC-40",Starlink 18 v1.0 (60 satellites),"15,600 kg (34,400 lb)",LEO,SpaceX,Success,F9 B5 ♺[,,24 January 2021,
107,"CCSFS,SLC-40",Starlink 19 v1.0 (60 satellites)[627],"15,600 kg (34,400 lb)",LEO,SpaceX,Success,F9 B5 ♺,,4 February 2021,
108,"KSC,LC-39A",Starlink 17 v1.0 (60 satellites),"15,600 kg (34,400 lb)",LEO,SpaceX,Success,F9 B5 ♺[,,16 February 2021,
109,"CCSFS,SLC-40",Starlink 20 v1.0 (60 satellites),"15,600 kg (34,400 lb)",LEO,SpaceX,Success,F9 B5 ♺[,,4 March 2021,
110,"KSC,LC-39A",Starlink 21 v1.0 (60 satellites),"15,600 kg (34,400 lb)",LEO,SpaceX,Success,F9 B5 ♺,,11 March 2021,
111,"CCSFS,SLC-40",Starlink 22 v1.0 (60 satellites),"15,600 kg (34,400 lb)",LEO,SpaceX,Success,F9 B5B1060.6643,,14 March 2021,
112,"CCSFS,SLC-40",Starlink 23 v1.0 (60 satellites),"15,600 kg (34,400 lb)",LEO,SpaceX,Success,F9 B5 ♺,,24 March 2021,
113,"KSC,LC-39A",Crew-2(Crew Dragon C206.2 Endeavour ♺),"~13,000 kg (29,000 lb)[648]",LEO (ISS),NASA (CTS)[497],Success,F9 B5B1061.2647,,7 April 2021,
114,"CCSFS,SLC-40",Starlink 24 v1.0 (60 satellites),"15,600 kg (34,400 lb)",LEO,SpaceX,Success,F9 B5B1060.7652,,23 April 2021,
115,"KSC,LC-39A",Starlink 25 v1.0 (60 satellites),"15,600 kg (34,400 lb)",LEO,SpaceX,Success,F9 B5B1049.9655,,29 April 2021,
116,"CCSFS,SLC-40",Starlink 27 v1.0 (60 satellites),"15,600 kg (34,400 lb)",LEO,SpaceX,Success,F9 B5B1051.10657,,4 May 2021,
117,"KSC,LC-39A[661]",Starlink 26 v1.0 (52 Satellites) Capella-6 &Tyvak-0130[662],"~14,000 kg (31,000 lb)",LEO,SpaceX Capella Space and Tyvak,Success,F9 B5B1058.8660,,9 May 2021,
118,"CCSFS,SLC-40[665]",Starlink 28 v1.0 (60 Satellites)[665],"15,600 kg (34,400 lb)",LEO,SpaceX,Success,F9 B5B1063.2665,,15 May 2021,
119,"KSC,LC-39A",SpaceX CRS-22(Dragon C209.1),"3,328 kg (7,337 lb)",LEO (ISS),NASA (CRS),Success,F9 B5B1067.1668,,26 May 2021,
120,"CCSFS,SLC-40",SXM-8[674],"7,000 kg (15,000 lb)",GTO,Sirius XM,Success,F9 B5,,3 June 2021,
121,,,,,,,,,6 June 2021,
